hotel_name,class_of_rating,rating,num_reviews
Two-Bedroom on Hamilton Place Apt 501,N/A,N/A,N/A
Two-Bedroom on Hamilton Place Apt 303,N/A,N/A,N/A
Three-Bedroom on D Street Apt 20,Awesome,9.3,5
Revere Hotel Boston Common,Very Good,8.4,2025
Copley Square Hotel,Very Good,8.5,766
14 Gloucester Street 1B,Awesome,9.3,8
Three-Bedroom on Brainerd Road Apt 22,Very Good,8.0,15
Global Luxury Suites at Fenway Park,Good,7.9,233
DoubleTree by Hilton Hotel Boston - Downtown,Very Good,8.2,783
Global Luxury Suites at Longwood Medical Area,Very Good,8.2,12
Apartment in Historic Location,Awesome,9.1,17
Best Western Plus Boston Hotel,Good,7.3,1168
Copley Square Hotel,Very Good,8.5,766
14 Gloucester Street 1B,Awesome,9.3,8
Three-Bedroom on Brainerd Road Apt 22,Very Good,8.0,15
Global Luxury Suites at Longwood Medical Area,Very Good,8.2,12
Apartment in Historic Location,Awesome,9.1,17
Best Western Plus Boston Hotel,Good,7.3,1168
Boston Little Italy Two Bedrooms (H2D),N/A,N/A,N/A
Westin Boston Waterfront,Very Good,8.4,366
Beautiful 2BR/1BA in convenient North End location,N/A,N/A,N/A
One-Bedroom on Arch Street Apt 2C,Good,7.8,14
Boston Harbor Hotel,Awesome,9.3,362
A Street Apartment by Stay Alfred,Awesome,9.2,107
Two-Bedroom on Hamilton Place Apt 401,N/A,N/A,N/A
Charming 2 Bedroom Apartment by the Green Line with Private Parking,N/A,N/A,N/A
Studio on Washington Street Apt 301,N/A,N/A,N/A
Fairmont Copley Plaza,Excellent,8.8,862
Boston Christopher,Very Good,8.1,287
Welcome to Boston,Exceptional,9.7,7
The Eliot Suite Hotel,Awesome,9.0,1211
Boston Park Plaza,Very Good,8.1,1142
One-Bedroom on Warrenton Street Apt 20,N/A,N/A,N/A
The Envoy Hotel Autograph Collection,Excellent,8.8,232
Kimpton Nine Zero Hotel,Excellent,8.9,823
Two-Bedroom on E Springfield Street Apt 4,N/A,N/A,N/A
